state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recoveryrate,recovered,deathrate,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
43,1575,9313,0,0,0,0,0,0,0,0,0,0.058412698,92,0,10888,10888,10888,72,0,0,0,36,36
44,8962,57686,0,352,937,76,0,51,0,0.054117385,485,0.031131444,279,937,66648,66648,66648,44,13,41,2597,341,2938
45,6258,53121,0,0,1110,0,0,0,0,0.578779163,3622,0.040907638,256,1110,59379,59379,59379,45,12,110,2704,163,2867
46,2525,14838,0,69,179,0,0,0,0,0.667722772,1686,0.008316832,21,179,17363,17363,17363,46,4,6,259,76,335
47,11891,174241,0,0,1113,0,0,0,0,0.466403162,5546,0.017155832,204,1113,186132,186132,186132,47,9,100,16058,1525,17583
48,29229,322546,0,1778,0,0,0,0,0,0.483150296,14122,0.027917479,816,0,351775,351775,351775,48,34,0,20333,1142,21475
49,4828,107730,0,0,403,0,0,0,0,0.427091964,2062,0.009527755,46,403,112558,112558,112558,49,0,13,3901,156,4057
50,16901,88747,468,1431,3654,366,0,193,0,0.12993314,2196,0.034376664,581,3654,106116,105648,105648,51,29,0,13084,1055,14139
51,66,811,68,0,0,0,0,0,0,0.772727273,51,0.060606061,4,0,945,877,877,78,0,0,4,0,4
52,879,15354,0,19,0,0,0,0,0,0,0,0.056882821,50,0,16233,16233,16233,50,1,0,568,13,581
53,14327,179654,0,470,0,120,0,0,0,0,0,0.056815802,814,0,193981,193981,193981,53,13,0,5924,257,6181
54,7314,72566,218,560,1544,127,391,0,0,0.458299152,3352,0.044708778,327,1544,80098,79880,79880,55,11,32,3172,460,3632
55,1136,45708,0,81,0,33,0,18,0,0.488556338,555,0.040492958,46,0,46844,46844,46844,54,5,0,2285,18,2303
56,559,9136,0,13,56,0,0,0,0,0.66726297,373,0.012522361,7,56,9695,9695,9695,56,0,0,234,15,249
