Country,Tests,Test Pop,Density,Urban Pop,QuarantineFlg,SchoolsFlg,RestrictionsFlg,Hospital Bed,sex0,sex14,sex25,sex54,sex64,sex65plus,Sex Ratio,lung,Female Lung,Male Lung,Median Age,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,TotalInfected,TotalDeaths,TotalRecovered,DeathRate,RecoveryRate
72,0,0,26,79,1,0,0,1.6,1.05,1.04,1,0.92,0.94,0.9,0.97,17.69,14.94,20.96,28,2.22045E+11,64.58,32971.854,4.8,50.33775549,47372,1344,14427,0.02837119,0.30454699
73,1030,106389.3961,368,47,0,0,0,1,1.05,1.04,1.04,1.03,0.84,0.72,1.01,44.52,27.04,67.56,23.5,3.3091E+11,41.09,109581.078,24.3,49.74165739,9485,623,1315,0.065682657,0.138639958
74,7899,4791.316749,124,60,0,1,1,6.5,1.06,1.06,1.05,1.02,0.9,0.64,0.94,16.16,9.98,25.9,40.7,5.85664E+11,29.67,37846.611,28,51.53070738,14006,698,4095,0.049835785,0.292374697
75,0,0,111,66,0,1,1,3.4,1.07,1.09,1.13,1.03,0.88,0.69,0.96,13.35,9.14,19.18,42.2,2.40675E+11,30.11,10196.709,22.7,52.71196171,25524,1063,1712,0.041647077,0.067074126
76,0,0,248,96,0,0,0,1.2,1.02,1.03,2.64,4.91,3.38,1.71,3.41,7.87,5.37,9.21,33.2,1.91362E+11,12,2881.053,20.6,24.49528738,16191,12,1810,0.000741152,0.111790501
77,3708,5188.158306,84,55,0,0,0,6.3,1.06,1.06,1.05,1.02,0.88,0.68,0.95,18.8,10.65,30.05,41.1,2.39553E+11,27.84,19237.691,29.7,51.34374306,13512,818,5269,0.06053878,0.389949674
78,0,0,16,84,0,0,0,2.7,1.05,1.05,1.15,1.31,1.21,1.05,1.19,12.41,9.55,15.56,27.5,7.86522E+11,28.22,34813.871,15.6,42.44584798,28656,191,4476,0.006665271,0.156197655
79,0,0,100,56,0,0,0,5.7,1.07,1.06,1.06,1.02,0.93,0.7,0.95,23.27,15.49,33.82,42.6,50597289147,37.63,8737.371,38.9,51.00252296,9557,197,1574,0.020613163,0.164696034
80,0,0,8358,99,0,0,0,2.4,1.07,1.05,0.97,0.95,1,0.83,0.96,8.32,3.17,14.81,34.6,3.64157E+11,27.7,5850.342,16.5,47.65812541,18778,18,1457,0.000958569,0.077590798
81,6712,309.7345054,103,55,0,0,0,4.6,1.07,1.06,1.05,1.02,0.97,0.68,0.95,11.89,8.36,16.95,44.5,54007972106,22.01,2078.938,22.5,50.24520703,1439,97,241,0.067407922,0.167477415
82,645,91951.45736,49,67,0,0,0,2.8,1.02,1.01,0.98,1.02,0.87,0.73,0.98,44.3,28.03,75.32,27.1,3.68289E+11,77.02,59308.69,20.3,50.69415038,7220,138,2746,0.019113573,0.38033241
83,0,0,94,80,1,0,0,3,1.07,1.06,1.07,1.04,0.95,0.74,0.98,16.37,8.22,27.49,42.7,1.41904E+12,31.07,46754.778,29.3,50.89664131,218011,25428,121343,0.116636317,0.556591181
84,0,0,341,18,0,0,0,3.6,1.04,1.04,1.03,0.96,0.86,0.74,0.96,21.58,15.38,29.36,32.8,88900770858,40.15,21413.249,13,51.96681766,751,8,194,0.010652463,0.258322237
85,14300,706.2423077,25,88,0,1,1,2.6,1.06,1.06,1.06,1.03,1.01,0.85,1,16.17,16.58,17.03,41.2,5.56086E+11,47.21,10099.265,18.8,49.94577617,22721,2769,4074,0.121869636,0.179305488
86,4000,2163.6555,219,74,0,1,1,4.7,1.06,1.06,1.04,1.01,1,0.78,0.97,15.22,11.94,19.47,42.4,7.0514E+11,21.18,8654.622,25.7,50.42712466,29981,1784,25200,0.059504353,0.840532337
87,0,0,67,37,0,0,0,0.7,1.03,1.02,1,1.01,0.78,0.75,0.99,18.09,14.24,22.47,17.7,58001200572,59.83,59734.218,14.8,50.05101091,480,16,167,0.033333333,0.347916667
88,7084,9853.187182,137,51,0,0,0,2.1,1.05,1.05,1.04,0.98,0.89,0.78,0.97,25.82,12.91,41.67,37.7,5.04993E+11,41.29,69799.978,19.9,51.26870461,2987,54,2740,0.018078339,0.917308336
89,0,0,76,70,0,0,0,2.3,1.07,1.06,1.01,0.94,1.03,0.97,0.99,23.54,10.97,38.83,31.6,39871132268,40.64,11818.619,32.7,50.43715186,1018,43,406,0.042239686,0.398821218
90,0,0,110,76,0,1,1,2.7,1.05,1.05,1.04,1.03,0.99,0.8,1.01,35.63,21.2,55.26,30.9,7.7135E+11,39.86,84339.067,27.2,50.6778132,127659,3461,68166,0.027111289,0.533969403
91,62657,5282.772093,36,83,0,0,0,2.9,1.05,1.04,1.05,1,0.93,0.79,0.97,32.01,30.04,34.55,38.1,2.05443E+13,46.73,331002.651,21.8,50.52001465,1180375,68922,187180,0.058389918,0.158576723
92,500,87467.524,75,69,0,0,0,8.8,1.06,1.06,1.05,0.96,0.75,0.5,0.86,11.11,4.73,22.11,40.6,1.30832E+11,49.04,43733.762,28.9,53.6877507,12331,303,1619,0.024572216,0.13129511
93,125000,79.123216,118,86,0,0,0,1.2,1.05,1.05,1.47,3.2,2.93,1.69,2.18,18.37,12.55,20.21,30.3,4.14179E+11,15.52,9890.402,28.9,30.63668795,14730,137,2966,0.009300747,0.201357773
94,50442,1345.823143,281,83,0,1,1,2.8,1.05,1.05,1.04,1.04,0.98,0.81,0.99,23.66,21.11,26.84,40.5,2.8553E+12,43.64,67886.011,22.3,50.63527456,191832,28809,910,0.150178281,0.004743734
95,0,0,20,96,0,0,0,2.8,1.04,1.04,1.03,0.98,0.89,0.66,0.94,33.57,23.14,49.85,35,59596885024,52.33,3473.73,16.8,51.72154269,657,17,447,0.02587519,0.680365297
96,9696,10039.04486,314,38,0,0,0,2.6,1.11,1.11,1.08,1.01,0.85,0.63,1,26.26,16.8,41.72,30.5,2.45214E+11,48.22,97338.579,22.8,50.09640962,271,0,219,0,0.808118081
